ID,Girls_max,Boys_max,Total
201-2013614,13,17,30
202-2021101,1,4,5
202-2022000,4,11,15
202-2022001,10,13,23
202-2022002,0,0,0
202-2022019,27,24,51
202-2022036,29,29,58
202-2022065,21,32,53
202-2022078,36,19,55
202-2022095,23,17,40
202-2022184,13,17,30
202-2022219,20,9,29
202-2022290,15,11,26
202-2022436,22,32,54
202-2022438,26,30,56
202-2022475,23,33,56
202-2022502,23,35,58
202-2022507,20,35,55
202-2022603,31,27,58
202-2022775,36,24,60
202-2022797,15,15,30
202-2022841,17,13,30
202-2022842,12,18,30
202-2022843,43,45,88
202-2023323,13,15,28
202-2023327,15,14,29
202-2023340,18,12,30
202-2023352,14,16,30
202-2023359,18,7,25
202-2023361,14,16,30
202-2023370,12,19,31
202-2023391,25,19,44
202-2023398,17,11,28
202-2023400,27,24,51
202-2023429,19,15,34
202-2023441,17,13,30
202-2023482,11,17,28
202-2023517,13,15,28
202-2023521,13,17,30
202-2023546,15,11,26
202-2023560,12,19,31
202-2023568,20,9,29
202-2023649,17,13,30
202-2023655,17,14,31
202-2025950,0,0,0
202-2027008,3,3,6
202-2027201,0,0,0
202-2027205,4,15,19
203-2031101,0,0,0
203-2032018,29,30,59
203-2032024,11,18,29
203-2032028,59,46,105
203-2032071,29,26,55
203-2032106,16,13,29
203-2032174,20,36,56
203-2032228,24,32,56
203-2032242,25,24,49
203-2032258,29,29,58
203-2032266,13,22,35
203-2032271,25,16,41
203-2032275,37,23,60
203-2032299,33,24,57
203-2032313,24,26,50
203-2032325,27,34,61
203-2032353,29,26,55
203-2032410,20,11,31
203-2032471,41,43,84
203-2032552,25,35,60
203-2032598,13,17,30
203-2032656,30,42,72
203-2032662,17,31,48
203-2032790,19,11,30
203-2032798,32,28,60
203-2032801,26,30,56
203-2032804,16,13,29
203-2032813,32,47,79
203-2032851,18,16,34
203-2032877,33,27,60
203-2032885,44,44,88
203-2032890,55,58,113
203-2032900,60,52,112
203-2032901,23,33,56
203-2032902,18,10,28
203-2032915,13,16,29
203-2032916,31,28,59
203-2032917,42,17,59
203-2032918,31,22,53
203-2032919,22,25,47
203-2032920,45,43,88
203-2032921,45,41,86
203-2032922,32,52,84
203-2032923,32,28,60
203-2032924,26,30,56
203-2032925,33,20,53
203-2033322,13,14,27
203-2033331,15,15,30
203-2033338,23,30,53
203-2033382,16,17,33
203-2033481,16,11,27
203-2033500,16,19,35
203-2033526,28,32,60
203-2033535,30,29,59
203-2033561,20,19,39
203-2033577,15,15,30
203-2033585,18,12,30
203-2033604,16,11,27
203-2033632,24,28,52
203-2033657,9,14,23
203-2033662,14,15,29
203-2033666,15,13,28
203-2033668,16,13,29
203-2033670,36,50,86
203-2035200,49,40,89
203-2037200,0,2,2
203-2037201,8,21,29
204-2041103,0,0,0
204-2042000,0,19,19
204-2042001,45,45,90
204-2042002,0,0,0
204-2042003,0,0,0
204-2042004,0,0,0
204-2042048,26,34,60
204-2042120,14,15,29
204-2042150,44,25,69
204-2042155,23,17,40
204-2042238,25,32,57
204-2042376,26,34,60
204-2042388,28,31,59
204-2042421,40,49,89
204-2042431,29,29,58
204-2042444,25,31,56
204-2042450,26,32,58
204-2042487,49,40,89
204-2042489,25,27,52
204-2042532,28,29,57
204-2042533,18,39,57
204-2042534,38,35,73
204-2042539,35,19,54
204-2042545,24,31,55
204-2042564,21,29,50
204-2042592,28,30,58
204-2042615,30,23,53
204-2042636,27,29,56
204-2042654,31,45,76
204-2042779,17,13,30
204-2042795,20,34,54
204-2042856,12,14,26
204-2042859,29,30,59
204-2042860,16,11,27
204-2042861,12,17,29
204-2042862,28,24,52
204-2042863,13,13,26
204-2042864,24,36,60
204-2042865,13,14,27
204-2042872,29,26,55
204-2042896,32,18,50
204-2042897,29,31,60
204-2042898,21,22,43
204-2042899,24,29,53
204-2042900,22,35,57
204-2043000,14,16,30
204-2043358,16,13,29
204-2043371,18,12,30
204-2043458,19,28,47
204-2043543,12,12,24
204-2043553,15,13,28
204-2043572,14,9,23
204-2043616,13,16,29
204-2043618,11,17,28
204-2043659,15,14,29
204-2043663,9,10,19
204-2043664,18,0,18
204-2043665,31,28,59
204-2043666,12,15,27
204-2046006,0,0,0
204-2046072,0,0,0
204-2046073,0,0,0
204-2046337,0,0,0
204-2046388,0,0,0
204-2046399,0,0,0
204-2046410,0,0,0
204-2047161,2,9,11
204-2047171,3,5,8
205-2051106,0,0,0
205-2052000,17,13,30
205-2052001,32,28,60
205-2052002,15,32,47
205-2052003,26,26,52
205-2052004,0,0,0
205-2052005,14,6,20
205-2052026,14,15,29
205-2052045,13,16,29
205-2052061,29,27,56
205-2052134,20,9,29
205-2052223,14,8,22
205-2052286,23,25,48
205-2052309,16,10,26
205-2052350,14,16,30
205-2052383,14,10,24
205-2052408,29,28,57
205-2052444,28,22,50
205-2052484,16,14,30
205-2052555,21,29,50
205-2052577,9,16,25
205-2052632,18,35,53
205-2052660,23,32,55
205-2052913,10,16,26
205-2053300,18,8,26
205-2053354,36,34,70
205-2053368,19,11,30
205-2053378,11,20,31
205-2053463,23,29,52
205-2053529,18,11,29
205-2053566,17,14,31
205-2053578,14,14,28
205-2053600,31,30,61
205-2053602,19,10,29
205-2053645,18,12,30
205-2053648,31,23,54
205-2053649,31,29,60
205-2053650,10,16,26
205-2055400,0,20,20
205-2056382,0,0,0
205-2056905,0,0,0
205-2057014,1,13,14
205-2057203,2,5,7
205-2057206,1,2,3
206-2061101,1,3,4
206-2061110,0,0,0
206-2061112,0,3,3
206-2062000,0,0,0
206-2062001,0,0,0
206-2062002,0,0,0
206-2062015,23,35,58
206-2062128,9,11,20
206-2062166,12,19,31
206-2062170,31,31,62
206-2062251,14,15,29
206-2062261,45,39,84
206-2062279,23,19,42
