ID,In Backlog,In Development,"Dev Done, Review",In Test,Test Done,Deployed:Dev,Signed Off,Type (optional),Example Filter B (optional)
15011,23/08/2017,16/10/2017,25/10/2017,25/10/2017,09/11/2017,09/11/2017,10/11/2017,Product Backlog Item,MTC\Sprint 25
15093,25/08/2017,25/10/2017,31/10/2017,02/11/2017,09/11/2017,09/11/2017,10/11/2017,Product Backlog Item,MTC\Sprint 25
15407,05/09/2017,06/11/2017,06/11/2017,06/11/2017,06/11/2017,06/11/2017,06/11/2017,Bug,MTC\Sprint 25
16347,02/10/2017,26/10/2017,31/10/2017,06/11/2017,08/11/2017,08/11/2017,08/11/2017,Product Backlog Item,MTC\Sprint 25
16348,02/10/2017,31/10/2017,31/10/2017,02/11/2017,08/11/2017,09/11/2017,09/11/2017,Product Backlog Item,MTC\Sprint 25
16921,20/10/2017,20/10/2017,24/10/2017,27/10/2017,09/11/2017,10/11/2017,10/11/2017,Product Backlog Item,MTC\Sprint 25
16934,20/10/2017,20/10/2017,20/10/2017,20/10/2017,27/10/2017,07/11/2017,08/11/2017,Product Backlog Item,MTC\Sprint 25
16943,23/10/2017,23/10/2017,03/11/2017,07/11/2017,08/11/2017,09/11/2017,09/11/2017,Product Backlog Item,MTC\Sprint 25
17000,24/10/2017,24/10/2017,26/10/2017,31/10/2017,06/11/2017,06/11/2017,08/11/2017,Product Backlog Item,MTC\Sprint 25
17176,30/10/2017,31/10/2017,01/11/2017,01/11/2017,01/11/2017,01/11/2017,08/11/2017,Product Backlog Item,MTC\Sprint 25
17203,31/10/2017,06/11/2017,06/11/2017,06/11/2017,06/11/2017,06/11/2017,06/11/2017,Bug,MTC\Sprint 25
17228,31/10/2017,06/11/2017,07/11/2017,07/11/2017,08/11/2017,08/11/2017,10/11/2017,Bug,MTC\Sprint 25
17233,31/10/2017,31/10/2017,01/11/2017,06/11/2017,06/11/2017,06/11/2017,08/11/2017,Bug,MTC\Sprint 25
17250,01/11/2017,01/11/2017,03/11/2017,06/11/2017,06/11/2017,06/11/2017,08/11/2017,Product Backlog Item,MTC\Sprint 25
17325,03/11/2017,07/11/2017,07/11/2017,09/11/2017,09/11/2017,09/11/2017,10/11/2017,Bug,MTC\Sprint 25
17379,07/11/2017,08/11/2017,08/11/2017,09/11/2017,09/11/2017,09/11/2017,10/11/2017,Bug,MTC\Sprint 25
17380,07/11/2017,07/11/2017,08/11/2017,08/11/2017,08/11/2017,08/11/2017,13/11/2017,Product Backlog Item,MTC\Sprint 25
17381,07/11/2017,09/11/2017,09/11/2017,10/11/2017,10/11/2017,10/11/2017,13/11/2017,Product Backlog Item,MTC\Sprint 25
17382,07/11/2017,08/11/2017,09/11/2017,09/11/2017,09/11/2017,09/11/2017,09/11/2017,Product Backlog Item,MTC\Sprint 25
17411,08/11/2017,08/11/2017,08/11/2017,08/11/2017,08/11/2017,09/11/2017,09/11/2017,Product Backlog Item,MTC\Sprint 25
16349,02/10/2017,02/11/2017,07/11/2017,09/11/2017,16/11/2017,16/11/2017,16/11/2017,Product Backlog Item,MTC\Sprint 26
16871,19/10/2017,19/10/2017,15/11/2017,21/11/2017,21/11/2017,21/11/2017,23/11/2017,Bug,MTC\Sprint 26
17261,01/11/2017,09/11/2017,09/11/2017,15/11/2017,16/11/2017,23/11/2017,23/11/2017,Product Backlog Item,MTC\Sprint 26
17327,03/11/2017,03/11/2017,08/11/2017,09/11/2017,14/11/2017,14/11/2017,14/11/2017,Product Backlog Item,MTC\Sprint 26
17330,03/11/2017,03/11/2017,08/11/2017,10/11/2017,14/11/2017,14/11/2017,15/11/2017,Product Backlog Item,MTC\Sprint 26
17337,06/11/2017,07/11/2017,17/11/2017,20/11/2017,24/11/2017,24/11/2017,24/11/2017,Product Backlog Item,MTC\Sprint 26
17402,08/11/2017,08/11/2017,16/11/2017,22/11/2017,24/11/2017,24/11/2017,24/11/2017,Product Backlog Item,MTC\Sprint 26
17408,08/11/2017,08/11/2017,08/11/2017,14/11/2017,24/11/2017,24/11/2017,27/11/2017,Product Backlog Item,MTC\Sprint 26
17514,10/11/2017,21/11/2017,22/11/2017,22/11/2017,22/11/2017,22/11/2017,22/11/2017,Bug,MTC\Sprint 26
17517,10/11/2017,21/11/2017,21/11/2017,21/11/2017,21/11/2017,21/11/2017,22/11/2017,Bug,MTC\Sprint 26
17459,09/11/2017,21/11/2017,21/11/2017,21/11/2017,21/11/2017,21/11/2017,22/11/2017,Bug,MTC\Sprint 26
17605,15/11/2017,16/11/2017,22/11/2017,22/11/2017,24/11/2017,27/11/2017,27/11/2017,Product Backlog Item,MTC\Sprint 26
17567,14/11/2017,22/11/2017,22/11/2017,24/11/2017,27/11/2017,27/11/2017,27/11/2017,Product Backlog Item,MTC\Sprint 27
17149,27/10/2017,28/11/2017,28/11/2017,28/11/2017,28/11/2017,28/11/2017,28/11/2017,Product Backlog Item,MTC\Sprint 27
17592,15/11/2017,28/11/2017,28/11/2017,28/11/2017,28/11/2017,28/11/2017,28/11/2017,Bug,MTC\Sprint 27
17902,29/11/2017,29/11/2017,30/11/2017,04/12/2017,04/12/2017,04/12/2017,04/12/2017,Product Backlog Item,MTC\Sprint 27
17516,10/11/2017,21/11/2017,21/11/2017,24/11/2017,24/11/2017,24/11/2017,29/11/2017,Product Backlog Item,MTC\Sprint 27
17706,21/11/2017,21/11/2017,21/11/2017,28/11/2017,30/11/2017,05/12/2017,05/12/2017,Product Backlog Item,MTC\Sprint 27
17745,22/11/2017,22/11/2017,22/11/2017,24/11/2017,01/12/2017,01/12/2017,04/12/2017,Product Backlog Item,MTC\Sprint 27
17916,29/11/2017,29/11/2017,29/11/2017,30/11/2017,30/11/2017,30/11/2017,30/11/2017,Product Backlog Item,MTC\Sprint 27
17984,30/11/2017,01/12/2017,04/12/2017,04/12/2017,04/12/2017,04/12/2017,04/12/2017,Product Backlog Item,MTC\Sprint 27
17980,30/11/2017,04/12/2017,04/12/2017,04/12/2017,04/12/2017,04/12/2017,07/12/2017,Product Backlog Item,MTC\Sprint 27
17707,21/11/2017,21/11/2017,24/11/2017,30/11/2017,01/12/2017,07/12/2017,07/12/2017,Product Backlog Item,MTC\Sprint 27
17711,21/11/2017,24/11/2017,30/11/2017,05/12/2017,05/12/2017,07/12/2017,07/12/2017,Product Backlog Item,MTC\Sprint 27
17383,07/11/2017,10/11/2017,21/11/2017,24/11/2017,30/11/2017,30/11/2017,30/11/2017,Product Backlog Item,MTC\Sprint 27
17604,15/11/2017,21/11/2017,29/11/2017,05/12/2017,06/12/2017,07/12/2017,07/12/2017,Product Backlog Item,MTC\Sprint 27
17981,30/11/2017,06/12/2017,06/12/2017,06/12/2017,06/12/2017,06/12/2017,07/12/2017,Product Backlog Item,MTC\Sprint 27
17982,30/11/2017,04/12/2017,06/12/2017,06/12/2017,06/12/2017,06/12/2017,07/12/2017,Product Backlog Item,MTC\Sprint 27
17983,30/11/2017,07/12/2017,08/12/2017,08/12/2017,08/12/2017,08/12/2017,14/12/2017,Product Backlog Item,MTC\Sprint 28
17917,29/11/2017,12/12/2017,12/12/2017,12/12/2017,12/12/2017,12/12/2017,14/12/2017,Product Backlog Item,MTC\Sprint 27
17904,29/11/2017,30/11/2017,04/12/2017,07/12/2017,07/12/2017,08/12/2017,14/12/2017,Bug,MTC\Sprint 27
17985,30/11/2017,08/12/2017,08/12/2017,13/12/2017,13/12/2017,13/12/2017,14/12/2017,Product Backlog Item,MTC\Sprint 27
17713,21/11/2017,30/11/2017,04/12/2017,08/12/2017,14/12/2017,19/12/2017,20/12/2017,Product Backlog Item,MTC\Sprint 27
17714,21/11/2017,04/12/2017,07/12/2017,08/12/2017,14/12/2017,20/12/2017,20/12/2017,Product Backlog Item,MTC\Sprint 27
17403,08/11/2017,04/12/2017,08/12/2017,08/12/2017,18/12/2017,18/12/2017,20/12/2017,Product Backlog Item,MTC\Sprint 27
18120,08/12/2017,08/12/2017,13/12/2017,14/12/2017,18/12/2017,19/12/2017,20/12/2017,Bug,MTC\Sprint 27
18189,13/12/2017,13/12/2017,15/12/2017,18/12/2017,18/12/2017,20/12/2017,20/12/2017,Product Backlog Item,MTC\Sprint 28
18110,08/12/2017,12/12/2017,18/12/2017,19/12/2017,22/12/2017,22/12/2017,22/12/2017,Product Backlog Item,MTC\Sprint 28
18173,12/12/2017,13/12/2017,13/12/2017,19/12/2017,19/12/2017,19/12/2017,19/12/2017,Product Backlog Item,MTC\Sprint 28
16824,18/10/2017,19/12/2017,20/12/2017,20/12/2017,20/12/2017,20/12/2017,20/12/2017,Product Backlog Item,MTC\Sprint 28
18255,15/12/2017,20/12/2017,20/12/2017,20/12/2017,20/12/2017,20/12/2017,20/12/2017,Product Backlog Item,MTC\Sprint 28
17566,14/11/2017,08/12/2017,08/12/2017,13/12/2017,18/12/2017,,,Bug,MTC\Sprint 28
18176,12/12/2017,20/12/2017,21/12/2017,,,,,Product Backlog Item,MTC\Sprint 28
18301,19/12/2017,19/12/2017,21/12/2017,,,,,Product Backlog Item,MTC\Sprint 28
18316,20/12/2017,21/12/2017,22/12/2017,,,,,Product Backlog Item,MTC\Sprint 28
18199,13/12/2017,20/12/2017,,,,,,Product Backlog Item,MTC\Sprint 28
16999,24/10/2017,19/12/2017,,,,,,Product Backlog Item,MTC\Sprint 28
